parcel_number,matched,latitude,longitude,census_tract
631259600,True,40.069333156377,-75.076346336842,42101034000
888650668,False,,,None
412218900,True,40.036752317641,-75.034880650582,42101033000
511112600,True,39.946680883964,-75.224660529584,42101007300
262168000,True,39.922923183647,-75.180340727771,42101003800
395205800,True,39.913532392028,-75.160767548517,42101037200
514243900,True,39.934898482001,-75.224934713595,42101007000
353033641,True,40.050895203834,-75.098115877064,42101030600
631314300,True,40.078992569399,-75.08546845361,42101034100
651204200,True,40.035295343414,-75.027302072671,42101032900
571013300,True,40.051408974701,-75.029673005042,42101034702
363088400,True,39.931106285279,-75.177069944609,42101003100
352255000,True,40.047245297908,-75.103660203051,42101030502
262261200,True,39.922082025,-75.178668106549,42101003800
602091700,True,39.955118182249,-75.224630640572,42101008500
81049600,True,39.946940003911,-75.17320180463,42101001203
582588792,True,40.104200937001,-75.01782924304,42101036000
102050900,True,40.055285421038,-75.152611165546,42101026700
513248700,True,39.9430463561,-75.227619811969,42101007102
161314900,True,39.993475986413,-75.157050530857,42101016702
61213300,True,39.960581657443,-75.2052872519,42101009200
181054400,True,39.968721156828,-75.131311632564,42101014300
183237800,True,39.979381632847,-75.134512203165,42101015700
622268700,True,40.019712620512,-75.074981257297,42101030000
562277800,True,40.081015620705,-75.03722635666,42101034502
631131400,True,40.07549072668,-75.076186199307,42101034100
82108100,True,39.949156589337,-75.175237353722,42101000803
21503700,True,39.933637507451,-75.15732040017,42101002400
365071000,True,39.93151604482,-75.170384626539,42101003002
561117000,True,40.058937260487,-75.071085771121,42101033800
342111300,True,39.980793164888,-75.244693024081,42101011400
364103300,True,39.930173744174,-75.182511994663,42101003200
621570200,True,40.029998131909,-75.066417657077,42101031700
161230300,True,39.988096436519,-75.16190142487,42101016701
888580006,True,40.103925412601,-75.03097990969,42101035701
62318000,True,39.970935946812,-75.210425983129,42101010700
152136400,True,39.967193055893,-75.164350109674,42101013300
62299200,True,39.969170167778,-75.208986386029,42101010700
243238300,True,39.972324393192,-75.203904401714,42101011000
403180800,True,39.924055730374,-75.232849394986,42101006300
172108700,True,40.028958867083,-75.15017415554,42101028100
361384000,True,39.936163159815,-75.184603682881,42101003200
21246100,True,39.93444303128,-75.159448196747,42101002300
301073600,True,39.943591179663,-75.175735481014,42101001400
888301189,True,39.944315773437,-75.184696429573,42101001302
291029200,True,39.974688513256,-75.174242272065,42101013800
122257300,True,40.046374764501,-75.160634194909,42101024700
292301600,True,39.977964153855,-75.184893655695,42101013701
561464300,True,40.056553613795,-75.060257984091,42101033600
551428100,True,40.035446969505,-75.04456160883,42101031501
372299400,True,39.993718856063,-75.146400851115,42101017500
888092942,True,39.949494831514,-75.170727100952,42101000805
501149400,True,40.072943986723,-75.163512782706,42101026301
192262600,True,39.995804798082,-75.140658519243,42101017500
412214100,True,40.0327394489,-75.031973562466,42101033000
213051000,True,40.019764451588,-75.2067039035,42101021100
888211598,True,40.028675913732,-75.221171316406,42101021400
572363700,True,40.056887598692,-75.003160711001,42101034803
603095900,True,39.953317488768,-75.228673007198,42101008000
313066400,True,39.982299320136,-75.130212711325,42101016100
383043000,True,40.01465101263,-75.191167191737,42101020702
881000923,True,39.964115762655,-75.191541799196,42101010900
214135421,True,40.04409287973,-75.228791535294,42101021700
371303500,True,39.985270472629,-75.147927021899,42101016500
521090800,True,39.97907057915,-75.217102278535,42101011100
261301300,True,39.922324669644,-75.17412303935,42101003901
381176700,True,40.000188352328,-75.173766599726,42101017202
401079700,True,39.933529847461,-75.230609055416,42101006500
412435900,True,40.024271617809,-75.04354158925,42101032500
502095100,True,40.068573253456,-75.166697731099,42101026200
453063600,True,39.996875121258,-75.073192697759,42101018300
57064400,True,39.964951898765,-75.141555927309,42101014201
402091000,True,39.922629501902,-75.222024824748,42101006700
11230515,True,39.93065660976,-75.150144973026,42101002702
33164300,True,39.946364763593,-75.244895144914,42101008200
888580026,False,,,None
421130600,True,40.026018366518,-75.118325121889,42101028902
422228800,True,40.03088146089,-75.128486815426,42101028600
365261700,True,39.936868453961,-75.167478523324,42101002200
583133308,True,40.123268352788,-75.009986176613,42101036501
402081200,True,39.924964538859,-75.224592378258,42101006700
451168600,True,39.983905998172,-75.101101325289,42101037900
302104900,True,39.942163045603,-75.179661051187,42101001302
541221800,True,40.040353559907,-75.071510308315,42101031300
421120800,True,40.02414041711,-75.119543139488,42101028902
631078700,True,40.075672115139,-75.076991650461,42101034100
871027950,True,39.992670165149,-75.148076011186,42101016500
62357600,True,39.971499904882,-75.212684255814,42101010500
172028500,True,40.047957334588,-75.145467667442,42101027700
401053100,True,39.933036908357,-75.225225121575,42101007000
32193400,True,39.951338361058,-75.245841742738,42101008200
871218400,True,39.977880844576,-75.16242956292,42101014700
331104000,True,39.998759522007,-75.117842101572,42101019200
232510100,True,40.006904993221,-75.089416190641,42101029400
604139200,True,39.953088552344,-75.234782616776,42101008102
381255200,True,39.998825443831,-75.176443016937,42101017202
662183100,True,40.086319984818,-74.975338836311,42101036202
463188800,True,39.951075719228,-75.232742317157,42101008102
212073600,True,40.028880212567,-75.213916219921,42101021300
364233600,True,39.934849527482,-75.188749186527,42101003200
311071900,True,39.986394061504,-75.126428122214,42101016100
421009100,True,40.017322552044,-75.112486489228,42101028901
172384700,True,40.046678847065,-75.153753220333,42101027901
422082000,True,40.02296539771,-75.13066685022,42101028700
661031600,True,40.075931950316,-74.995956750364,42101035302
551513300,True,40.03998323252,-75.046645282614,42101031501
301108600,True,39.942733503387,-75.175700313242,42101001400
222101400,True,40.055610258023,-75.187074993251,42101025300
381045100,True,40.002297681394,-75.170294255428,42101017100
632227200,True,40.093295419131,-75.06002563454,42101034400
212414922,False,,,None
331369000,True,39.998635850093,-75.111753543042,42101019200
432343000,True,40.010586402414,-75.142891470004,42101019800
662599600,True,40.08251310491,-74.968642917286,42101036203
292062700,True,39.978893818889,-75.179485355127,42101013702
