OBJECTID,TRAIL_NAME,TRAIL_SYSTEM,ALIAS,LABEL,TRAIL_ID,TRAIL_TYPE,TRAIL_SURFACE,TRAIL_STATUS,TRAIL_RESTRICTIONS,PEDESTRIAN_ACCESS,BIKE_ACCESS,HORSE_ACCESS,CIRCUIT_TRAIL,ECG_TRAIL,SRT_TRAIL,DRG_TRAIL,MILES,COMMENTS,NMT911_TRAIL,Shape__Length
418,Minor Trail,WISSAHICKON_ANDORRA,Early Bird Trail,,,MINOR,SOFT,EXISTING,,Y,N,Y,N,N,N,N,0.06644975,,N,139.680899227731
419,Minor Trail,WISSAHICKON_ANDORRA,Forest Loop,,,MINOR,SOFT,EXISTING,,Y,N,Y,N,N,N,N,0.03864434,,N,81.3675439998942
420,Minor Trail,WISSAHICKON_ANDORRA,Forest Loop,,,MINOR,SOFT,EXISTING,,Y,N,Y,N,N,N,N,0.13716144,,N,288.585179505824
421,Minor Trail,WISSAHICKON_ANDORRA,Forest Loop,,,MINOR,SOFT,EXISTING,,Y,N,Y,N,N,N,N,0.01051017,,N,22.0759188989514
422,Minor Trail,WISSAHICKON_ANDORRA,Forest Loop,,,CONNECTOR,SOFT,EXISTING,,Y,N,Y,N,N,N,N,0.0652661,,N,137.269476196209
423,Minor Trail,WISSAHICKON_ANDORRA,Meadow Loop,,,MINOR,SOFT,EXISTING,,Y,N,Y,N,N,N,N,0.0609573,,N,128.077607282598
424,Minor Trail,WISSAHICKON_ANDORRA,Yellow Trail,,,MINOR,SOFT,EXISTING,,Y,N,Y,N,N,N,N,0.09383121,,N,197.284387715809
425,Minor Trail,WISSAHICKON,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.08218332,,N,172.971063413709
426,Minor Trail,WISSAHICKON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.03783134,,N,79.6002857153108
427,Belmont Cross Country Trail,WEST_FAIRMOUNT,,Belmont Cross Country Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.06118259,,N,128.68020502456
428,Belmont Cross Country Trail,WEST_FAIRMOUNT,Army Road,Belmont Cross Country Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.06674867,,N,140.325055257628
429,Belmont Cross Country Trail,WEST_FAIRMOUNT,Parachute Hill,Belmont Cross Country Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.1740165,,N,365.728074282345
430,Minor Trail,WISSAHICKON_ANDORRA,Meadow Loop,,,MINOR,SOFT,EXISTING,,Y,N,Y,N,N,N,N,0.7488691,,N,1575.26479833598
431,Minor Trail,WISSAHICKON_ANDORRA,Meadow Loop,,,MINOR,SOFT,EXISTING,,Y,N,Y,N,N,N,N,0.02592364,,N,54.5716843357458
432,Minor Trail,WISSAHICKON_ANDORRA,Meadow Observation Loop,,,MINOR,SOFT,EXISTING,,Y,N,Y,N,N,N,N,0.17936765,,N,377.481192432869
433,Azalea Garden Path,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.04888373,,N,102.526611787181
434,Minor Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.28879387,,N,607.64997107535
435,Minor Trail,WISSAHICKON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.01382508,,N,29.0698099539681
436,Minor Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.14894976,,N,313.439671717627
437,Minor Trail,WISSAHICKON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.01218599,,N,25.6159472359228
438,Minor Trail,WISSAHICKON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.08141209,,N,171.088801776526
439,Minor Trail,WISSAHICKON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.02223549,,N,46.8015601011339
440,Azalea Garden Path,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.01190475,,N,25.0619914288298
441,Azalea Garden Path,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.01149908,,N,24.1106743204004
442,Azalea Garden Path,EAST_FAIRMOUNT,,Azalea Garden Path,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.05344009,,N,112.078526551424
443,Azalea Garden Path,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.01576895,,N,33.1240983055127
444,Azalea Garden Path,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.02722723,,N,57.2733324029708
445,Azalea Garden Path,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00676169,,N,14.2351758954145
446,Azalea Garden Path,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00629871,,N,13.2246490348204
447,Azalea Garden Path,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00897651,,N,18.8896244924468
448,Kelly Drive Trail,EAST_FAIRMOUNT,"Waterworks Drive, Seahorse Circle",,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.03382583,,N,70.9919299893023
449,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,Y,Y,N,N,0.07484725,,N,156.953339496185
450,Belmont Cross Country Trail,WEST_FAIRMOUNT,Army Road,Belmont Cross Country Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.07677233,,N,161.593288798737
451,Belmont Cross Country Trail,WEST_FAIRMOUNT,Army Road,Belmont Cross Country Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.1543377,,N,324.828341170724
452,Centennial 5K Loop,WEST_FAIRMOUNT,,Centennial 5K Loop,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,3.18033977,,N,6679.37983951366
453,Belmont Cross Country Trail,WEST_FAIRMOUNT,Army Road,Belmont Cross Country Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.15387033,,N,323.325184764084
454,Belmont Cross Country Trail,WEST_FAIRMOUNT,Army Road,Belmont Cross Country Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.25357948,,N,533.359082204695
455,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00646507,,N,13.5928900851406
456,Crossbow Trail,WEST_FAIRMOUNT,,Crossbow Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.56723357,,N,1191.57644307765
457,Crossbow Trail,WEST_FAIRMOUNT,,Crossbow Trail,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.06773895,,N,142.280112392262
458,Crossbow Trail,WEST_FAIRMOUNT,,Crossbow Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.41295212,,N,868.26521333937
459,Belmont Cross Country Trail,WEST_FAIRMOUNT,,Belmont Cross Country Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.80442108,,N,1692.22070056981
460,Belmont Cross Country Trail,WEST_FAIRMOUNT,,Belmont Cross Country Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.10612378,,N,223.033679546985
461,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.0204162,,N,42.8893392588776
462,Minor Trail,EAST_FAIRMOUNT,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00800833,,N,16.802293318893
463,Minor Trail,EAST_FAIRMOUNT,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.01137569,,N,23.8704994123422
464,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.01496148,,N,31.4800861908089
465,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.02614631,,N,54.9824108961472
466,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.06945622,,N,145.972328544197
467,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00911906,,N,19.1764109562874
468,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00996555,,N,20.9789648465359
469,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00679335,,N,14.2394382168117
470,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.02533716,,N,53.3058323917324
471,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.04247723,,N,89.3709370827081
472,Minor Trail,EAST_FAIRMOUNT,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00701069,,N,14.7007549586031
473,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00238728,,N,5.0058970832446
474,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.0502539,,N,105.718424820711
475,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.03861558,,N,81.268138936039
476,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.01013748,,N,21.2921331214075
477,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.05790682,,N,121.76908578633
478,Fairmount Ramps,EAST_FAIRMOUNT,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.07660942,,N,160.802168514402
479,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.07516774,,N,158.101263286826
480,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.02566089,,N,53.8455548458246
481,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.07799691,,N,163.640523374022
482,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00818622,,N,17.2339162203169
483,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.05961779,,N,125.089372121045
484,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.03904889,,N,82.0097242595861
485,Minor Trail,EAST_FAIRMOUNT,,<Null>,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.06579192,,N,138.032503375724
486,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.11930783,,N,251.064006376807
487,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.01518093,,N,31.863638843384
488,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.01541446,,N,32.3595486023758
489,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00728533,,N,15.300864179842
490,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.08746683,,N,184.049346449398
491,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.01187741,,N,25.0001197155611
492,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.00960667,,N,20.1858279806327
493,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.08355984,,N,175.633149413347
494,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.15612217,,N,327.774330405194
495,Minor Trail,EAST_FAIRMOUNT,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.06870359,,N,144.475887737802
496,29th and Pennsylvania Bridge,EAST_FAIRMOUNT,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.08225697,,N,172.951265342026
497,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.0403626,,N,84.7810092442545
498,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00954658,,N,20.0593125438813
499,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.1055923,,N,221.712114817686
500,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.13622772,,N,286.037548588516
501,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.04925084,,N,103.529943063746
502,Minor Trail,EAST_FAIRMOUNT,,,,MINOR,SOFT,EXISTING,,Y,Y,N,N,N,N,N,0.02600056,,N,54.7349362647981
503,Minor Trail,EAST_FAIRMOUNT,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,N,N,N,N,N,0.02198733,,N,46.1948521528046
504,Minor Trail,EAST_FAIRMOUNT,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.15026022,,N,315.748667494855
505,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.02406453,,N,50.5944665087886
506,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.07405314,,N,155.246611156452
507,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.02895467,,N,60.6841650003921
508,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.02315445,,N,48.564725160364
509,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.0485932,,N,101.810201644532
510,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.08341206,,N,175.16439835492
511,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.02249524,,N,47.2752818874079
512,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.06718474,,N,140.951300955356
513,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.02283035,,N,47.8515015924014
514,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.18025933,,N,378.802838522594
515,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01374933,,N,28.8132912012055
516,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01707643,,N,35.8820674501569
517,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.03052437,,N,64.0964673824486
518,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01411443,,N,29.6037067447181
519,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.0133721,,N,28.101140715975
520,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.02404714,,N,50.3705622954758
521,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01188914,,N,24.9961718610353
522,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.07352793,,N,154.335043490686
523,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01459753,,N,30.5905245868743
524,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.00869732,,N,18.258711946414
525,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.00998907,,N,20.9922382657296
526,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01757993,,N,36.8607924912992
527,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01468178,,N,30.8758196521218
528,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.04403142,,N,92.4123713417796
529,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.04878388,,N,102.183289316113
530,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.03333077,,N,69.9033133921777
531,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01599489,,N,33.6402062898389
532,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.09944752,,N,208.916086753179
533,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01737608,,N,36.4221704857763
534,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.03611,,N,75.913249929188
535,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.03553339,,N,74.4537931812015
536,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.23012208,,N,482.379356883773
537,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.05551433,,N,116.617047558677
538,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.07533971,,N,158.018085748746
539,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.12952192,,N,272.189918373255
540,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.04476797,,N,94.0806198216901
541,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01702747,,N,35.699698436337
542,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.14746879,,N,309.925465935677
543,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.04048287,,N,85.0530317795424
544,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.02924778,,N,61.3142862344252
545,Minor Trail,FDR,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.20369075,,N,427.933624875452
546,Minor Trail,FDR,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.03657401,,N,76.6470174997855
547,Minor Trail,COBBS_HADDINGTON,,,,MINOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.03993492,,N,84.0381676453434
548,Minor Trail,COBBS_HADDINGTON,,,,MINOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.08243541,,N,173.115050706825
549,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,Y,N,N,N,0.17943082,,N,376.475212611895
550,Cobbs Creek Trail,COBBS_HADDINGTON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.01363377,,N,28.6878304047532
551,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.0821676,,N,172.587510771588
552,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.02061978,,N,43.247807763989
553,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,Y,N,N,N,0.02407825,,N,50.5614945819602
554,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,Y,N,N,N,0.07276369,,N,152.562716330109
555,Minor Trail,COBBS_HADDINGTON,,,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.04430441,,N,93.1978095104012
556,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.02490113,,N,52.3789536335427
557,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,Y,N,N,N,0.01737767,,N,36.4422219037165
558,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.11251581,,N,236.483318427773
559,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,Y,N,N,N,0.07849517,,N,164.592236662068
560,Minor Trail,COBBS_HADDINGTON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.08053406,,N,169.478645899088
561,Minor Trail,COBBS_LOWER,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.09030795,,N,189.568722164174
562,Minor Trail,COBBS_LOWER,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.02366165,,N,49.606732230053
563,Minor Trail,COBBS_LOWER,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.16277483,,N,342.428581458416
564,Minor Trail,COBBS_LOWER,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.00678065,,N,14.2703277520874
565,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,Y,N,N,N,0.23149814,,N,486.063577433601
566,Minor Trail,COBBS_HADDINGTON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.01148886,,N,24.176703024809
567,Minor Trail,COBBS_HADDINGTON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.04565694,,N,95.7636626678123
568,Minor Trail,COBBS_HADDINGTON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.01220909,,N,25.6902587538522
569,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.15490802,,N,325.013848512825
570,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.06244502,,N,131.373015299005
571,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.06500421,,N,136.602217313486
572,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.09972352,,N,209.700878361959
573,Minor Trail,COBBS_HADDINGTON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.00849313,,N,17.8775789345523
574,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.08173568,,N,171.44802168472
575,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.12134297,,N,255.109559480839
576,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.08556011,,N,180.098229530531
577,Minor Trail,COBBS_HADDINGTON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.07780066,,N,163.157903832252
578,Cobbs Creek Trail,COBBS_LOWER,,Cobbs Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.35707257,,N,751.580950573224
579,Minor Trail,COBBS_LOWER,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.09568926,,N,201.01962082961
580,Minor Trail,COBBS_LOWER,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.08087466,,N,169.701758022984
581,Minor Trail,COBBS_LOWER,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.04047436,,N,84.9143888081556
582,Minor Trail,COBBS_LOWER,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.08938282,,N,187.890880364526
583,Minor Trail,COBBS_LOWER,,,,CONNECTOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.01613871,,N,33.9621425626904
584,Minor Trail,BARTRAMS,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.09487491,,N,199.395595618771
585,Minor Trail,BARTRAMS,,,,MINOR,SOFT,EXISTING,,Y,Y,N,N,N,N,N,0.12348252,,N,258.854476569008
586,Minor Trail,BARTRAMS,,,,MINOR,SOFT,EXISTING,,Y,Y,N,N,N,N,N,0.12573016,,N,263.644252577814
587,Minor Trail,BARTRAMS,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,N,N,N,N,N,0.00864262,,N,18.1677855895489
588,Minor Trail,BARTRAMS,,,,MINOR,SOFT,EXISTING,,Y,Y,N,N,N,N,N,0.06256437,,N,131.544077961905
589,Minor Trail,BARTRAMS,,,,MINOR,SOFT,EXISTING,,Y,Y,N,N,N,N,N,0.03430874,,N,72.0494028287965
590,Minor Trail,BARTRAMS,,,,MINOR,SOFT,EXISTING,,Y,Y,N,N,N,N,N,0.07081945,,N,148.549350120808
591,Minor Trail,BARTRAMS,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,N,N,N,N,N,0.01724695,,N,36.2543309554929
592,Minor Trail,BARTRAMS,,,,MINOR,SOFT,EXISTING,,Y,Y,N,N,N,N,N,0.16338451,,N,343.201999972152
593,Minor Trail,BARTRAMS,,,,MINOR,SOFT,EXISTING,,Y,Y,N,N,N,N,N,0.07913434,,N,166.17267487803
594,Minor Trail,BARTRAMS,,,,MINOR,SOFT,EXISTING,,Y,Y,N,N,N,N,N,0.01984151,,N,41.7192310922149
595,Minor Trail,BARTRAMS,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.02696368,,N,56.5497257825043
596,Minor Trail,BARTRAMS,,,,MINOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.02393213,,N,50.1893380735945
597,Minor Trail,BARTRAMS,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.0197318,,N,41.4902988841061
598,Minor Trail,BARTRAMS,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.0201163,,N,42.2928009765489
599,Minor Trail,BARTRAMS,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.0207249,,N,43.5736772883164
600,Minor Trail,BARTRAMS,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.02218499,,N,46.6441884040661
