OBJECTID,TRAIL_NAME,TRAIL_SYSTEM,ALIAS,LABEL,TRAIL_ID,TRAIL_TYPE,TRAIL_SURFACE,TRAIL_STATUS,TRAIL_RESTRICTIONS,PEDESTRIAN_ACCESS,BIKE_ACCESS,HORSE_ACCESS,CIRCUIT_TRAIL,ECG_TRAIL,SRT_TRAIL,DRG_TRAIL,MILES,COMMENTS,NMT911_TRAIL,Shape__Length
37,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.81740239,,N,1720.94600474265
38,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.17300305,,N,363.981188780933
39,Minor Trail,COBBS_LOWER,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.02204033,,N,46.3379693938154
40,Minor Trail,COBBS_LOWER,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.33480368,,N,704.29343672738
41,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.43251421,,N,910.113261854446
42,Minor Trail,WISSAHICKON_CARPENTERS_WOODS,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.05388923,,N,113.336191925661
43,Cobbs Creek Trail,COBBS_LOWER,,Cobbs Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.52625382,,N,1104.32098218756
44,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.14232257,,Y,299.296345113783
45,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.10885774,,Y,228.786162910259
46,Kelly Drive Trail,EAST_FAIRMOUNT,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.06730925,,Y,141.47511249597
47,Kelly Drive Trail,EAST_FAIRMOUNT,"Waterworks Drive, Seahorse Circle",,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.04924826,,Y,103.367161036154
48,Cobbs Creek Trail,COBBS_LOWER,,Cobbs Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,N,1.79850611,,Y,3780.13128410545
49,Minor Trail,WISSAHICKON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.06453881,,N,135.540276282737
50,Manayunk Canal Towpath,SRT_TOWPATH,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,0.22399513,,Y,470.780049308473
51,Manayunk Canal Towpath,SRT_TOWPATH,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,0.12399212,,N,260.646828505901
52,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.66163738,,N,1391.23850947907
53,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.33489628,,N,703.743465273717
54,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.30787363,,N,647.894427396765
55,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.15602402,,N,328.815923552389
56,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.25919177,,N,545.843980586851
57,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.18513674,,N,388.85665424175
58,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.72594834,,N,1526.1981126588
59,Adams Bridge,TACONY_FRANKFORD,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.01750328,,N,36.7649644901431
60,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,Y,0.26378555,,N,554.16944441433
61,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,Y,N,Y,0.21779753,,N,457.72635772774
62,Manayunk Canal Towpath,SRT_TOWPATH,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,0.19260086,,Y,405.182054993915
63,Tacony Creek Trail,TACONY_FRANKFORD,,Tacony Creek Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.09307819,,N,195.588231171684
64,Minor Trail,WISSAHICKON,,,,CONNECTOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.08477391,,N,178.062327988672
65,Manayunk Canal Towpath,SRT_TOWPATH,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,1.25597508,,Y,2641.38858793174
66,Schuylkill River Trail - Shawmont,OTHER,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,1.11561576,,Y,2347.18620442117
67,Kelly Drive Trail,EAST_FAIRMOUNT,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.07499124,,Y,157.787997718899
68,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.20902532,,Y,439.888612542876
69,Schuylkill Banks,SRT_SCHUYLKILL_BANKS,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,Y,Y,N,0.11744576,,Y,247.055265646589
70,Pennypack Trail,PENNYPACK,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.01963419,,N,41.3024481581695
71,Pennypack Trail,PENNYPACK,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.02635383,,N,55.4020481453619
72,Pennypack Trail,PENNYPACK,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.0307017,,N,64.6242961333341
73,Pennypack Trail,PENNYPACK,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.00859904,,N,18.1090222840661
74,Pennypack Trail,PENNYPACK,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.01368261,,N,28.8525621130228
75,Pennypack Trail,PENNYPACK,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.01263739,,N,26.6250737026569
76,Minor Trail,COBBS_LOWER,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.02905935,,N,61.011815557992
77,Orange Trail,WISSAHICKON,,,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.01113919,,N,23.4697398390144
78,Minor Trail,EAST_FAIRMOUNT,,,,CONNECTOR,HARD,EXISTING,,Y,Y,N,N,N,N,N,0.00982122,,N,20.6198125871209
