X,Y,objectid,tree_name,tree_dbh,year,loc_y,loc_x
-8368222.08601656,4857175.386135,52,SYRINGA RETICULATA - JAPANESE TREE LILAC,3,2024,39.93963596,-75.17301623
-8368063.70796801,4857042.51026648,53,ACER CAMPESTRE - HEDGE MAPLE,12,2024,39.93872076,-75.1715935
-8368197.67057321,4857249.11433446,54,PRUNUS TRILOBA - FLOWERING PLUM,5,2024,39.94014377,-75.17279691
-8368231.53462657,4857116.35676398,55,ACER TATARICUM - TATARIAN MAPLE,5,2024,39.93922939,-75.17310111
-8368025.31685155,4857280.57257226,56,PRUNUS SPECIES - OTHER CHERRY,5,2024,39.94036044,-75.17124863
-8368207.58947418,4857191.62352725,57,PYRUS CALLERYANA - CALLERY PEAR,7,2024,39.9397478,-75.17288601
-8368034.73670335,4857135.44412174,58,LIQUIDAMBAR STYRACIFLUA - SWEETGUM,3,2024,39.93936086,-75.17133325
-8368037.32428315,4857117.55323217,59,CARYA SPECIES - OTHER HICKORY,4,2024,39.93923763,-75.17135649
-8367974.01112999,4857513.44065459,60,ACER RUBRUM - RED MAPLE,3,2024,39.9419643,-75.17078774
-8367990.83926149,4857411.50395372,61,CARPINUS BETULUS - EUROPEAN HORNBEAM,3,2024,39.94126222,-75.17093891
-8368185.32785039,4857318.42052664,62,ULMUS SPECIES - OTHER ELM,8,2024,39.94062112,-75.17268603
-8368183.38295631,4857330.83766945,63,ULMUS SPECIES - OTHER ELM,7,2024,39.94070664,-75.17266856
-8368049.45282278,4857062.73292217,64,PLATANUS X ACERIFOLIA - LONDON PLANETREE,6,2024,39.93886005,-75.17146544
-8368049.36677243,4857069.87425889,65,ACER SPECIES - OTHER MAPLE,2,2024,39.93890924,-75.17146467
-8368043.70358194,4857089.4416843,66,TILIA SPECIES - OTHER LINDEN,5,2024,39.93904401,-75.1714138
-8368042.62336857,4857104.28121436,67,CERCIS CANADENSIS - EASTERN REDBUD,6,2024,39.93914622,-75.17140409
-8368041.46984508,4857107.51413901,68,QUERCUS BICOLOR - SWAMP WHITE OAK,3,2024,39.93916849,-75.17139373
-8368189.48650641,4857309.0623364,69,PRUNUS SPECIES - OTHER CHERRY,5,2024,39.94055666,-75.17272339
-8369326.52912193,4857599.59169978,70,MALUS SPECIES - OTHER CRABAPPLE,3,2024,39.94255765,-75.18293761
-8368474.87879915,4856790.58257746,71,ULMUS SPECIES - OTHER ELM,12,2024,39.93698555,-75.17528711
-8369173.50917587,4857517.5545389,72,QUERCUS RUBRA - NORTHERN RED OAK,9,2024,39.94199263,-75.18156301
-8369244.79555089,4857513.09149694,73,PYRUS COMMUNIS - COMMON PEAR,4,2024,39.94196189,-75.18220339
-8369050.13621019,4857500.30556945,74,ULMUS SPECIES - OTHER ELM,8,2024,39.94187383,-75.18045473
-8369320.85832671,4857421.22372159,75,SYRINGA RETICULATA - JAPANESE TREE LILAC,3,2024,39.94132917,-75.18288667
-8368975.1471748,4857468.00589744,76,ACER RUBRUM - RED MAPLE,3,2024,39.94165137,-75.1797811
-8368816.00299554,4857460.83987372,77,GLEDITSIA TRIACANTHOS - HONEYLOCUST,12,2024,39.94160202,-75.17835148
-8369337.92574051,4857593.16988598,78,ULMUS SPECIES - OTHER ELM,12,2024,39.94251342,-75.18303999
-8369255.87753941,4856951.50800353,79,AMELANCHIER SPECIES - OTHER SERVICEBERRY,3,2024,39.93809397,-75.18230294
-8368971.62252021,4857246.9463657,80,PYRUS CALLERYANA - CALLERY PEAR,11,2024,39.94012884,-75.17974943
-8368816.54126915,4857444.36225822,81,GLEDITSIA TRIACANTHOS - HONEYLOCUST,12,2024,39.94148853,-75.17835632
-8369043.34177768,4856828.11701178,82,ACER GINNALA - AMUR MAPLE,8,2024,39.93724408,-75.1803937
-8368588.78176302,4857425.00998546,83,GLEDITSIA TRIACANTHOS - HONEYLOCUST,11,2024,39.94135524,-75.17631032
-8368581.67784039,4857421.86410611,84,SYRINGA RETICULATA - JAPANESE TREE LILAC,2,2024,39.94133358,-75.1762465
-8368966.48833252,4857466.51289632,85,ULMUS SPECIES - OTHER ELM,7,2024,39.94164109,-75.17970331
-8368257.93161263,4856758.47658334,86,CERCIS CANADENSIS - EASTERN REDBUD,7,2024,39.93676441,-75.17333824
-8368773.65508297,4856860.59200547,87,PRUNUS SPECIES - OTHER CHERRY,9,2024,39.93746776,-75.17797106
-8368973.11549251,4857240.37767849,88,PYRUS CALLERYANA - CALLERY PEAR,8,2024,39.9400836,-75.17976285
-8369192.02424504,4857520.78354721,89,PRUNUS SPECIES - OTHER CHERRY,7,2024,39.94201487,-75.18172934
-8368996.14538996,4857473.53768359,90,OSTRYA VIRGINIANA - EASTERN HOP HORNBEAM,2,2024,39.94168947,-75.17996973
-8368859.23346443,4856890.60844481,91,PYRUS CALLERYANA - CALLERY PEAR,18,2024,39.93767451,-75.17873983
-8368699.58998179,4857439.76263574,92,ACER RUBRUM - RED MAPLE,8,2024,39.94145685,-75.17730572
-8368663.16274867,4857434.85139064,93,PYRUS CALLERYANA - CALLERY PEAR,18,2024,39.94142303,-75.17697849
-8368851.63069042,4857448.22937516,94,CRATAEGUS SPECIES - OTHER HAWTHORN,2,2024,39.94151516,-75.17867153
-8368696.69285324,4856853.69631421,95,ACER RUBRUM - RED MAPLE,13,2024,39.93742027,-75.1772797
-8369033.08249879,4857477.24504845,96,SYRINGA RETICULATA - JAPANESE TREE LILAC,2,2024,39.94171501,-75.18030154
-8368919.01370984,4856902.2459581,97,PYRUS CALLERYANA - CALLERY PEAR,21,2024,39.93775466,-75.17927684
-8369218.59118556,4857525.17623215,98,LIQUIDAMBAR STYRACIFLUA - SWEETGUM,4,2024,39.94204513,-75.18196799
-8369158.78264897,4857500.96940702,99,ACER RUBRUM - RED MAPLE,4,2024,39.9418784,-75.18143072
-8368674.28527719,4857437.00124746,100,QUERCUS RUBRA - NORTHERN RED OAK,4,2024,39.94143783,-75.17707841
-8369220.723842,4857509.49951418,101,CERCIS CANADENSIS - EASTERN REDBUD,4,2024,39.94193715,-75.18198715
-8368966.90033256,4857280.27608909,102,PYRUS CALLERYANA - CALLERY PEAR,9,2024,39.9403584,-75.17970701
-8368782.8602932,4857436.35609961,103,GLEDITSIA TRIACANTHOS - HONEYLOCUST,11,2024,39.94143339,-75.17805375
-8369009.93204263,4857474.44477871,104,QUERCUS RUBRA - NORTHERN RED OAK,12,2024,39.94169572,-75.18009357
-8368839.13241799,4857447.71700354,105,GLEDITSIA TRIACANTHOS - HONEYLOCUST,10,2024,39.94151164,-75.17855925
-8369329.61723448,4856976.33211061,106,AMELANCHIER SPECIES - OTHER SERVICEBERRY,1,2024,39.93826495,-75.18296535
-8368600.48861166,4857425.05747261,107,ACER RUBRUM - RED MAPLE,6,2024,39.94135557,-75.17641548
-8368898.41161671,4857473.38037459,108,QUERCUS ACUTISSIMA - SAWTOOTH OAK,6,2024,39.94168839,-75.17909177
-8368790.11417987,4856873.99562813,109,ACER CAMPESTRE - HEDGE MAPLE,12,2024,39.93756008,-75.17811892
